id,First_Name,Last_Name,Work_Street_Address,City,State,US_Zip_Code,Age,Gender,Race,Ethnicity,Focus_of_Practice,Areas_of_Interest,Practice_Type,Practice_Setting,Practice_Area,Job_Function,Job_Role,Employment_Status,Affiliation,Years_in_Practice,First_Year_in_Practice,Primary_Practice_Location,Primary_Practice_District,NPI,Military_Service,Active_Military_Service,US_Govt_Employee,Active_Govt_Employee,Medical_License_State,Medical_License_Begin_Date,Medical_License_End_Date,Suspended_Account,CME_Eligible,Report_CME_to_ABA,CRNA_Eligible,Toolbox_Role,Level_PGY,Question_Bank_Content_Editing,Institution_Super_User
275,Emerson,Myers,4054 College Way,Ann Arbor,MI,481048392,50,GNC,"AIAN,AI,NHOPI",HL,PERI_MED,"EMI,PAIN_MED,AIR_MGMT,DIA,QPI",Ambulatory Surgery Center,Outpatient Surgery Center,URBAN,INVENANDINNOV,"HPPDM,MEDDIR,DIRANESSVS",NOTPRACTICING,Healthcare Partners,8,2017,MI,7,6102908718,,Yes,VA,Yes,MI,12/03/2018,11/29/2035,0,0,1,0,Faculty,PGY-2,0,0
276,Victoria,Hughes,1763 Elm Blvd,Newark,DE,197111387,57,FEMALE,ANI,NHL,"PED_ANES,GER_ANES","OPHTHALMOLOGY,TRAUMA,CARDIO_SYS,PS",Ambulatory Surgery Center,Multi-Site Practice,URBAN,ACADEMICS,DEPTVICECHAIR,WLTC,Eastern Healthcare,20,2005,DE,2,5608581670,,Yes,VA,No,DE,12/05/2010,11/29/2033,0,1,1,0,Faculty,PGY-5,0,0
277,Nicole,Moore,6501 Main Ln,Charleston,WV,253012847,37,FEMALE,UNS,NOANS,"PED_ANES,RAA,OBS_ANES",AMB_OBA,Ambulatory Surgery Center,Office-Based,SUBURBAN,"FELLOWEDUC,RESEDUC,SOCLEADOFC",NONE,INTCONTRACTLT,Premier Healthcare,8,2017,WV,2,9804253733,,Yes,PUBLIC_HEALTH_SYSTEM,Yes,WV,12/05/2008,11/30/2030,0,1,0,1,Student,PGY-4,0,0
278,Catherine,Gomez,"3781 Park Way, Suite 909",Concord,NH,033017660,42,FEMALE,OTHER,HL,"NA,CCM","GERIATRICS,SIM,EPD,POCUS",Multi-Specialty Group,Hospital - Academic,URBAN,"QLTYMGMTREPT,OTHER,FELLOWEDUC","HPPDM,DEPTVICECHAIR",INTCONTRACTLT,,5,2020,NH,11,3984716906,,No,,Yes,NH,12/06/2004,11/30/2028,0,1,1,0,Admin,PGY-3,1,0
279,Dakota,Harris,8581 Valley Ct,Lansing,MI,489334085,48,NB,"BAA,ANI,NHOPI",NOANS,"GER_ANES,ANES_RES,PED_ANES","REG_ANES,CARDIO_SYS,OPHTHALMOLOGY,POCUS",Academic Medical Center,Hospital - Academic,URBAN,"INDSCORPCS,PRACMGMTADM,MEDSTUEDUC",HIRINGDM,APHHSACS,Banner Health,11,2014,MI,5,2435885379,,No,PUBLIC_HEALTH_SYSTEM,Yes,MI,12/07/2000,11/29/2035,0,1,0,0,Staff,PGY-4,0,1
280,Anna,Miller,8120 College Ave,Reno,NV,895016130,46,FEMALE,AIAN,NHL,"PAIN_MED,ACD_MED,PERI_MED",GERIATRICS,Academic Medical Center,Hospital - Academic,URBAN,"INDSCORPCS,INVENANDINNOV,PRACLECS",HEADOFDIV,APHHSACS,,18,2007,NV,7,2150014188,MARINES,No,,Yes,NV,12/02/2021,11/30/2028,0,1,0,0,,PGY-2,0,0
281,Parker,Ward,8066 Washington Ave,Baton Rouge,LA,708014620,35,X,ANI,NOANS,"PERI_MED,NEURO_ANES","AMB_OBA,ANES_RES,BH,TRANS_MED",Multi-Specialty Group,Office-Based,SUBURBAN,QLTYMGMTREPT,"OTHER,HPPDM",INTCONTRACTLT,Central Medical Group,5,2020,LA,4,9223410346,NAVY,No,INDIAN_HEALTH_SERVICE,No,LA,12/03/2017,11/29/2033,0,0,0,0,,PGY-2,0,0
282,Charlie,Young,"4862 Pine Ct, Suite 580",Virginia Beach,VA,234514998,40,GNC,"BAA,AI",NOANS,"CCM,NEURO_ANES","QPI,CCM",Ambulatory Surgery Center,Office-Based,RURAL,"RESEDUC,SOCLEADOFC,HOSPMGMTADM",JRNLEDITOR,WLTC,Academic Medical Group,10,2015,VA,5,7069556076,NAVY,Yes,INDIAN_HEALTH_SERVICE,Yes,VA,12/06/2004,12/01/2027,0,0,1,0,Staff,PGY-4,0,0
283,Cynthia,Evans,2830 Medical Ave,Baltimore,MD,212011854,43,FEMALE,"OTHER,WHI",HL,ANES_RES,"PAIN_MED,CARDIO_SYS,LEAD_DEV,EPD,QPI",Private Practice,Outpatient Surgery Center,RURAL,"RESEDUC,ACADEMICS","OTHER,DEPTCHAIR,JRNLEDITOR",NOTPRACTICING,,9,2016,MD,2,4876230391,CSTGRD,Yes,VA,No,MD,12/06/2006,11/30/2028,0,1,1,0,,PGY-2,0,0
284,Jordan,Rodriguez,2326 Main Rd,Columbia,MO,652017471,35,X,ANI,NHL,"GER_ANES,CCM,AMB_ANES","PRAC_MGMT,ANES_RES,SIM,REG_ANES,BH",Academic Medical Center,Multi-Site Practice,SUBURBAN,"QLTYMGMTREPT,HOSPMGMTADM",FELLOWPGMDIR,INTCONTRACTLT,County General Hospital,10,2015,MO,1,6878599648,PHSCC,No,VA,Yes,MO,12/06/2007,11/29/2034,0,0,0,1,Staff,PGY-4,0,0
285,Casey,Turner,4120 Park Ave,Little Rock,AR,722016743,41,GNC,AIAN,HL,ANES_RES,"TRANS_MED,PHY_WELLNESS,BH,TRAUMA,WIA",Community Hospital,Outpatient Surgery Center,RURAL,"RESEDUC,NONE,ACADEMICS","JRNLEDITOR,HPPDM",INDCONTRACT,,8,2017,AR,9,6194588707,,No,,No,AR,12/05/2010,11/29/2032,0,0,1,1,Student,N/A,0,0
286,Joshua,Carter,7306 Highland Rd,Grand Rapids,MI,495032526,48,MALE,"NHOPI,ANI,AIAN",NOANS,ANES_RES,NSA,Academic Medical Center,Office-Based,RURAL,"QLTYMGMTREPT,ENGINEERING,INDSCONSUL","FELLOWPGMCOORD,RESPGMDIR",WLTC,Valley Healthcare,21,2004,MI,9,4630040236,USUHS,Yes,PUBLIC_HEALTH_SYSTEM,No,MI,12/06/2005,11/29/2032,0,1,1,1,,N/A,0,0
287,River,Mendoza,"9829 Pine Dr, Suite 544",Baton Rouge,LA,708015459,51,X,"OTHER,BAA,WHI",HL,"NA,PAIN_MED","SIM,ONCOLOGY,CARDIO_SYS",Academic Medical Center,Hospital - Community,SUBURBAN,QLTYMGMTREPT,"DEPTVICECHAIR,HPPDM,DEPTCHAIR",INTCONTRACTLT,St. Mary's Medical Center,26,1999,LA,2,4760944128,PHSCC,No,,Yes,LA,12/04/2014,11/29/2034,0,1,0,0,,PGY-4,1,0
288,Pamela,Young,"2801 Church Blvd, Suite 707",Columbia,SC,292012357,42,FEMALE,"OTHER,WHI,NHOPI",NHL,ACD_MED,"SIM,GERIATRICS",Academic Medical Center,Hospital - Academic,RURAL,ANESCTEDUC,"DEPTVICECHAIR,DEPTCHAIR,PROFINSTRFAC",INDCONTRACT,Northwest Medical Center,11,2014,SC,6,1028671200,AIRFORCE,Yes,,No,SC,12/02/2021,12/01/2027,0,1,0,1,Faculty,PGY-1,0,0
289,Morgan,Murphy,3766 River Rd,Warwick,RI,028863667,35,X,ANI,HL,PAIN_MED,AMB_OBA,Academic Medical Center,Office-Based,RURAL,PRACMGMTADM,DIRPREANESTSTCLINIC,APHHSACS,Midwest Anesthesia Partners,10,2015,RI,3,7584466345,,No,PUBLIC_HEALTH_SYSTEM,No,RI,12/07/2002,11/29/2033,0,1,1,0,Staff,N/A,0,0
290,Diane,Harris,"1182 Oak St, Suite 922",Rochester,MN,559027382,31,FEMALE,"AI,AIAN",HL,CARD_ANES,"EMI,TRANS_MED,ACD_MED,PAIN_MED,PRAC_MGMT",Academic Medical Center,Outpatient Surgery Center,SUBURBAN,ACADEMICS,"HPPINF,SURGCTROPER,HPPDM",OTHER,,6,2019,MN,8,7657256592,,No,,Yes,MN,12/03/2019,11/29/2033,0,0,0,0,Staff,PGY-5,0,0
291,Parker,Garcia,"9782 Hospital Rd, Suite 873",Princeton,NJ,085421729,48,GNC,"AIAN,UNS,ANI",NHL,"PAIN_MED,CCM,NA","LEAD_DEV,ALI,CCM",Multi-Specialty Group,Hospital - Community,SUBURBAN,INDSCONSUL,"HEADOFDIV,JRNLEDITOR",INDCONTRACT,City Medical Center,11,2014,NJ,5,0691767993,AIRFORCE,Yes,,Yes,NJ,12/04/2015,11/30/2031,0,1,0,0,Staff,PGY-5,0,0
292,Blake,Peterson,"1998 Pine Ct, Suite 436",Portland,ME,041019930,48,X,UNS,HL,PERI_MED,"REG_ANES,PEDIATRICS",Solo Practice,Outpatient Surgery Center,URBAN,"INVENANDINNOV,SCIRESEARCH","PRACTICEOPER,RESPGMCOOR,DEPTVICECHAIR",INDCONTRACT,Regional Healthcare System,11,2014,ME,7,0615370124,ARMY,Yes,VA,Yes,ME,12/06/2004,11/30/2029,0,1,0,0,,PGY-3,0,0
293,River,Thomas,"4659 Maple Ln, Suite 461",Albuquerque,NM,871017355,54,GNC,"AIAN,AI",NOANS,"RAA,NA",TRAUMA,Solo Practice,Multi-Site Practice,RURAL,"HOSPMGMTADM,HOSPLECS",PROFINSTRFAC,WLTC,Johns Hopkins,22,2003,NM,11,8409112252,,Yes,,Yes,NM,12/08/1999,11/30/2029,1,1,1,0,,PGY-2,0,0
294,Hayden,Williams,6203 Highland Ln,Houston,TX,770026163,36,X,"AIAN,UNS,OTHER",NHL,"CARD_ANES,CCM","APOOR,DIA,OBSTETRICS,PEDIATRICS,PHY_WELLNESS",Multi-Specialty Group,Multi-Site Practice,URBAN,"FELLOWEDUC,INDSCORPCS","DIRPREANESTSTCLINIC,HIRINGDM",INDCONTRACT,,5,2020,TX,2,1219881927,NAVY,Yes,,No,TX,12/08/1997,11/29/2033,0,1,1,0,Staff,PGY-3,0,0
295,Cameron,Gonzalez,"1957 Washington Rd, Suite 425",Jackson,MS,392013992,34,X,"ANI,BAA",NOANS,CCM,"ONCOLOGY,GERIATRICS,TRANS_MED,PHY_WELLNESS",Solo Practice,Multi-Site Practice,SUBURBAN,ENGINEERING,PRACTICEOWNER,NOTPRACTICING,Mountain View Medical,9,2016,MS,11,9130448818,AIRFORCE,No,PUBLIC_HEALTH_SYSTEM,Yes,MS,12/06/2006,11/30/2029,0,0,1,0,Admin,PGY-1,0,0
296,Robert,Stewart,2175 Elm Pl,Fort Wayne,IN,468021086,59,MALE,UNS,NOANS,"NA,PAIN_MED,CCM","CARDIO_SYS,OBA,PRAC_MGMT",Ambulatory Surgery Center,Hospital - Community,URBAN,"QLTYMGMTREPT,ACADEMICS",JRNLEDITOR,INDCONTRACT,Banner Health,23,2002,IN,6,4937830639,,No,,Yes,IN,12/07/2003,11/29/2034,0,0,0,0,Student,PGY-2,0,0
297,Sharon,Scott,"9513 Main Dr, Suite 949",Newark,DE,197111225,51,FEMALE,AI,NOANS,NA,"ACD_MED,CARDIO_SYS,EMI",Multi-Specialty Group,Government Facility,SUBURBAN,"INDSCORPCS,PRACLECS",HIRINGDM,WLTC,,17,2008,DE,11,5372215566,AIRFORCE,No,,Yes,DE,12/05/2011,12/01/2027,0,0,1,0,Admin,PGY-4,0,0
298,Joyce,Foster,"7853 Medical Ave, Suite 456",Mobile,AL,366024675,39,FEMALE,"AI,AIAN,WHI",HL,"GER_ANES,OBS_ANES,CCM",TRANS_MED,Solo Practice,Office-Based,SUBURBAN,"RESEDUC,INVENANDINNOV,OTHER",DEPTVICECHAIR,INTCONTRACTLT,,9,2016,AL,9,4764273720,,Yes,PUBLIC_HEALTH_SYSTEM,No,AL,12/05/2010,11/30/2029,0,0,1,0,Faculty,PGY-1,0,0
299,Peyton,Smith,"3268 Elm Ave, Suite 838",Santa Fe,NM,875015115,47,X,"WHI,UNS",NOANS,OBS_ANES,"EMI,CCM,APOOR",Academic Medical Center,Hospital - Community,SUBURBAN,"ACADEMICS,ENGINEERING,ENTREPRENEURSHIP","DIRPREANESTSTCLINIC,HEADOFDIV,MEDDIR",OTHER,Providence Healthcare,18,2007,NM,6,9369995167,AIRFORCE,No,,No,NM,12/07/2002,11/30/2030,0,1,0,0,Admin,PGY-2,0,0
300,Stephen,Chavez,7470 Cedar Ave,Pittsburgh,PA,152222946,30,MALE,"BAA,NHOPI,AI",HL,NA,"ADD_MED,AIR_MGMT,QPI",Ambulatory Surgery Center,Outpatient Surgery Center,RURAL,ENTREPRENEURSHIP,"PRACTICEOWNER,BUDGETOWNER,RESPGMDIR",OTHER,,5,2020,PA,9,9830748207,NATGRD,Yes,,Yes,PA,12/02/2022,11/30/2030,0,0,0,0,Faculty,PGY-3,0,0
301,Donald,Castillo,"3445 Center Rd, Suite 542",Spokane,WA,992012036,37,MALE,UNS,HL,PERI_MED,"TRANS_MED,ALI",Academic Medical Center,Hospital - Community,RURAL,"SCIRESEARCH,RESEDUC,MEDSTUEDUC","FELLOWPGMCOORD,PROFINSTRFAC",INTCONTRACTLT,,7,2018,WA,7,7602508261,,No,,No,WA,12/08/1998,11/30/2028,0,1,1,0,Admin,N/A,0,0
302,Emerson,Foster,"7716 Maple Ave, Suite 229",Columbus,OH,432154764,36,NB,"ANI,WHI,NHOPI",HL,"AMB_ANES,GER_ANES,OBS_ANES","ONCOLOGY,NSA,GERIATRICS,PS,PAIN_MED",Academic Medical Center,Hospital - Community,RURAL,PRACLECS,"FELLOWPGMDIR,DIRPREANESTSTCLINIC",NOTPRACTICING,Regional Healthcare System,8,2017,OH,10,1876920828,,Yes,,Yes,OH,12/07/2001,11/29/2034,0,0,1,0,Staff,PGY-3,0,0
303,Michael,Hernandez,2802 Highland Ave,Worcester,MA,016088877,54,MALE,"AI,AIAN",NOANS,"ANES_RES,PAIN_MED,PED_ANES","POCUS,DIA,EMI,ALI,PERIOP_MED",Private Practice,Multi-Site Practice,URBAN,HOSPLECS,"OTHER,PROFINSTRFAC",INDCONTRACT,Southern Regional Hospital,5,2020,MA,5,7850902556,,No,INDIAN_HEALTH_SERVICE,No,MA,12/08/1999,12/01/2027,0,0,0,0,Student,N/A,0,0
304,Taylor,Campbell,8552 Lake Pl,Olympia,WA,985013014,41,NB,WHI,NOANS,NA,"CARDIO_SYS,PRAC_MGMT",Ambulatory Surgery Center,Government Facility,RURAL,"SCIRESEARCH,PRACMGMTADM,NONE",PROFINSTRFAC,NOTPRACTICING,,15,2010,WA,12,2483550542,,Yes,VA,Yes,WA,12/03/2017,11/29/2032,0,0,1,0,Resident,PGY-5,0,0
305,Joan,Murphy,"8548 Cedar Ct, Suite 292",Wichita,KS,672027548,53,FEMALE,"AI,WHI,OTHER",NHL,"OBS_ANES,NA,CARD_ANES",SIM,Community Hospital,Hospital - Community,RURAL,"ENGINEERING,PRACMGMTADM",JRNLEDITOR,INTCONTRACTLT,Mountain View Medical,13,2012,KS,7,2126942894,NATGRD,Yes,,No,KS,12/03/2016,11/30/2029,0,0,0,0,Admin,N/A,0,0
306,Avery,Sanders,1486 Spring Ct,Fairbanks,AK,997015761,51,NB,"AIAN,OTHER,UNS",HL,"ACD_MED,CCM",DIA,Community Hospital,Outpatient Surgery Center,URBAN,HOSPMGMTADM,FELLOWPGMDIR,INTCONTRACTLT,Mayo Clinic,10,2015,AK,8,8803153888,,Yes,,No,AK,12/05/2008,11/29/2035,0,1,0,0,Resident,PGY-1,0,0
307,Gerald,Miller,"3354 Pine Ave, Suite 302",Warwick,RI,028864551,44,MALE,"AIAN,WHI,ANI",NHL,ACD_MED,PEDIATRICS,Ambulatory Surgery Center,Hospital - Academic,SUBURBAN,"PRACLECS,ENTREPRENEURSHIP","DIRPREANESTSTCLINIC,PROFINSTRFAC,OTHER",NOTPRACTICING,Mercy Medical Center,16,2009,RI,7,5306011987,AIRFORCE,No,,No,RI,12/02/2020,11/29/2032,0,1,0,1,Student,PGY-5,0,0
308,Jessica,Martinez,"9990 Maple Ave, Suite 754",Frederick,MD,217012783,49,FEMALE,"AI,AIAN,ANI",HL,"CCM,GER_ANES","PRAC_MGMT,PERIOP_MED,ONCOLOGY",Academic Medical Center,Government Facility,RURAL,"ANESCTEDUC,INVENANDINNOV",OTHER,INTCONTRACTLT,Trinity Health System,16,2009,MD,10,3368750926,,Yes,,No,MD,12/06/2007,11/30/2030,0,0,1,1,,N/A,0,0
309,Alex,Garcia,1007 Medical Dr,Rockford,IL,611012448,33,GNC,UNS,NHL,"AMB_ANES,NEURO_ANES,PED_ANES","APOOR,AMB_OBA,WIA,ALI",Community Hospital,Hospital - Academic,SUBURBAN,"INVENANDINNOV,ANESCTEDUC",HEADOFDIV,NOTPRACTICING,Healthcare Partners,6,2019,IL,9,6271531234,NATGRD,No,INDIAN_HEALTH_SERVICE,Yes,IL,12/08/1998,12/01/2026,0,0,1,0,Admin,N/A,0,0
310,Reese,Ruiz,"395 College St, Suite 678",Rutland,VT,057012062,31,NB,"UNS,WHI,OTHER",NOANS,"OBS_ANES,PED_ANES","PCEOLC,ONCOLOGY,ALI,DIA,AMB_OBA",Multi-Specialty Group,Multi-Site Practice,URBAN,"NONE,OTHER,INDSCONSUL",HPPDM,WLTC,Mayo Clinic,5,2020,VT,10,4920749269,,No,PUBLIC_HEALTH_SYSTEM,Yes,VT,12/08/1999,11/30/2030,0,0,0,0,Faculty,PGY-2,0,0
311,Skylar,Davis,476 Hospital Way,Omaha,NE,681028490,43,X,AI,NHL,"OBS_ANES,ACD_MED,CCM",ADD_MED,Solo Practice,Government Facility,URBAN,"ENTREPRENEURSHIP,FELLOWEDUC","PRACTICEOWNER,PROFINSTRFAC,MEDDIR",INDCONTRACT,Mountain View Medical,11,2014,NE,11,0723483893,NAVY,Yes,INDIAN_HEALTH_SERVICE,No,NE,12/07/2000,11/29/2032,0,0,1,0,Resident,PGY-5,0,0
312,Jason,Johnson,"7995 Water Ave, Suite 802",Oklahoma City,OK,731024117,43,MALE,AIAN,HL,NEURO_ANES,"LEAD_DEV,TRAUMA",Multi-Specialty Group,Outpatient Surgery Center,URBAN,"OTHER,SOCLEADOFC",DEPTCHAIR,INDCONTRACT,,15,2010,OK,11,5951434682,ARMY,Yes,,Yes,OK,12/08/1999,11/29/2034,0,1,0,0,Resident,PGY-4,0,0
313,Drew,Cox,5365 Oak Way,San Francisco,CA,941029549,38,NB,WHI,NHL,PERI_MED,"PRAC_MGMT,PS,ADD_MED,BH",Ambulatory Surgery Center,Multi-Site Practice,SUBURBAN,"ENGINEERING,QLTYMGMTREPT,SCIRESEARCH","DEPTCHAIR,FELLOWPGMCOORD",WLTC,Southern Regional Hospital,6,2019,CA,3,7620534407,,No,PUBLIC_HEALTH_SYSTEM,Yes,CA,12/03/2018,11/29/2035,0,1,0,0,Admin,PGY-4,0,0
314,Hayden,Alvarez,3419 Center Ct,Honolulu,HI,968138606,60,NB,"OTHER,BAA",HL,CARD_ANES,"AIR_MGMT,PERIOP_MED",Multi-Specialty Group,Government Facility,SUBURBAN,"SCIRESEARCH,INVENANDINNOV,SOCLEADOFC","PRACTICEOWNER,DEPTCHAIR",INTCONTRACTLT,,34,1991,HI,8,2119206136,,No,VA,Yes,HI,12/01/2024,11/30/2029,0,0,0,0,Staff,PGY-1,0,0
315,Sage,Morgan,"2422 Union Way, Suite 274",New Haven,CT,065102231,38,GNC,"WHI,ANI,BAA",HL,OBS_ANES,"OBA,TRAUMA",Multi-Specialty Group,Multi-Site Practice,SUBURBAN,SCIRESEARCH,"HPPDM,MEDDIR,BUDGETOWNER",APHHSACS,Mercy Medical Center,6,2019,CT,8,1798213486,NAVY,No,,Yes,CT,12/01/2024,11/30/2028,0,1,1,0,Resident,PGY-4,0,0
316,Ruth,Gutierrez,"2500 Main Ln, Suite 485",Laramie,WY,820703353,57,FEMALE,"AI,OTHER,AIAN",NOANS,"PED_ANES,ANES_RES,AMB_ANES","PS,EPD,OPHTHALMOLOGY,PCEOLC,OBSTETRICS",Ambulatory Surgery Center,Hospital - Academic,URBAN,"SOCLEADOFC,SCIRESEARCH,INDSCORPCS",MEDDIR,INDCONTRACT,,20,2005,WY,7,2355216505,,Yes,,Yes,WY,12/02/2022,11/30/2028,1,0,0,0,,N/A,0,0
317,Nicole,Cox,"8491 Hospital Ave, Suite 390",Ann Arbor,MI,481048403,46,FEMALE,AIAN,NHL,"NEURO_ANES,CCM,NA",PERIOP_MED,Ambulatory Surgery Center,Office-Based,RURAL,"PRACMGMTADM,QLTYMGMTREPT,SCIRESEARCH","PRACTICEOPER,DIRPREANESTSTCLINIC",NOTPRACTICING,Community Hospital Network,14,2011,MI,11,8707152386,,No,,Yes,MI,12/06/2004,11/29/2034,0,0,1,0,,N/A,0,0
318,Catherine,Miller,"4512 Main Ln, Suite 499",Montpelier,VT,056026437,35,FEMALE,"UNS,ANI,WHI",NHL,"PAIN_MED,CCM","CARDIO_SYS,PS",Community Hospital,Hospital - Community,URBAN,"SCIRESEARCH,INDSCORPCS,OTHER",FELLOWPGMDIR,WLTC,,10,2015,VT,8,9001248255,,No,PUBLIC_HEALTH_SYSTEM,No,VT,12/07/2003,11/29/2033,0,1,0,0,,N/A,1,0
319,Riley,Kelly,"6713 University Dr, Suite 327",Hilo,HI,967209679,60,GNC,"OTHER,UNS,BAA",NOANS,"CCM,RAA,CARD_ANES",ACD_MED,Community Hospital,Office-Based,URBAN,"ENTREPRENEURSHIP,RESEDUC","DEPTVICECHAIR,DIRANESSVS,NONE",INDCONTRACT,,15,2010,HI,1,1381865507,,Yes,,Yes,HI,12/06/2005,11/30/2031,0,1,0,0,Student,PGY-1,0,0
320,Dakota,Collins,5453 Church Dr,New Haven,CT,065106998,39,NB,"ANI,AIAN",NOANS,"ANES_RES,NEURO_ANES","ALI,OBA,POCUS,PHY_WELLNESS",Community Hospital,Hospital - Community,URBAN,"FELLOWEDUC,QLTYMGMTREPT,ACADEMICS","HPPINF,DIRPREANESTSTCLINIC",APHHSACS,Johns Hopkins,6,2019,CT,2,6781367500,MARINES,No,,Yes,CT,12/06/2005,11/30/2029,0,1,1,0,,PGY-5,0,0
321,Charlie,Hill,"2364 Spring Ln, Suite 858",Hilo,HI,967209869,44,GNC,AI,NOANS,ACD_MED,AMB_OBA,Private Practice,Hospital - Academic,URBAN,"NONE,INDSCONSUL","RESPGMCOOR,HEADOFDIV,DEPTVICECHAIR",WLTC,Regional Healthcare System,13,2012,HI,6,9655942824,MARINES,Yes,VA,No,HI,12/06/2004,11/30/2031,0,1,1,0,Admin,N/A,0,0
322,Larry,Hill,8616 Medical Ct,Bangor,ME,044019038,35,MALE,ANI,NOANS,"CARD_ANES,ANES_RES,OBS_ANES",PS,Solo Practice,Government Facility,RURAL,ENGINEERING,FELLOWPGMDIR,INDCONTRACT,University Hospital,10,2015,ME,5,3677462025,,Yes,VA,No,ME,12/02/2020,11/29/2033,0,0,0,0,,PGY-3,0,0
323,Alex,Morgan,"7827 Market Pl, Suite 781",Hilo,HI,967203899,47,NB,"ANI,NHOPI,OTHER",NHL,"NEURO_ANES,NA,PED_ANES","CARDIO_SYS,PEDIATRICS,OPHTHALMOLOGY,PHY_WELLNESS,PAIN_MED",Academic Medical Center,Multi-Site Practice,RURAL,"PRACMGMTADM,ENTREPRENEURSHIP,QLTYMGMTREPT",DEPTVICECHAIR,INDCONTRACT,Providence Healthcare,19,2006,HI,3,5775458472,USUHS,Yes,,No,HI,12/08/1999,11/30/2028,0,0,0,0,Faculty,PGY-2,0,0
324,Riley,Gonzalez,"7097 Church Ave, Suite 341",Spokane,WA,992014874,49,GNC,"WHI,ANI,UNS",NHL,"CCM,CARD_ANES",GERIATRICS,Private Practice,Office-Based,URBAN,"INDSCORPCS,QLTYMGMTREPT","SURGCTROPER,SURGCTROWNER,DIRANESSVS",APHHSACS,,11,2014,WA,8,5539835844,CSTGRD,No,,Yes,WA,12/08/1996,11/30/2028,0,0,0,0,Admin,N/A,1,0
325,Jason,Morales,"5455 Park Pl, Suite 631",Richmond,VA,232183140,59,MALE,"WHI,AI,OTHER",NHL,PERI_MED,"TRAUMA,ADD_MED,PAIN_MED",Multi-Specialty Group,Office-Based,URBAN,SCIRESEARCH,"DEPTCHAIR,FELLOWPGMDIR",APHHSACS,United Healthcare System,20,2005,VA,8,1256083200,AIRFORCE,No,,Yes,VA,12/02/2020,12/01/2026,0,1,0,0,,PGY-2,0,0
326,Rachel,James,1615 Hill Dr,Juneau,AK,998019378,34,FEMALE,"AI,OTHER,ANI",HL,CARD_ANES,"OBA,PCEOLC",Multi-Specialty Group,Hospital - Academic,RURAL,"PRACMGMTADM,FELLOWEDUC",DIRANESSVS,WLTC,Metro Anesthesia Associates,9,2016,AK,1,9309671397,,Yes,PUBLIC_HEALTH_SYSTEM,Yes,AK,12/03/2018,12/01/2026,0,0,0,0,Student,PGY-4,0,0
327,Quinn,Sanchez,"3607 Oak Rd, Suite 541",Columbia,SC,292016526,53,GNC,"AI,WHI,AIAN",HL,"PED_ANES,GER_ANES,ANES_RES","DIA,ANES_RES",Community Hospital,Hospital - Academic,URBAN,ACADEMICS,"FELLOWPGMDIR,SURGCTROPER,HPPINF",APHHSACS,Surgical Specialists LLC,21,2004,SC,7,0274812421,NAVY,Yes,,Yes,SC,12/03/2018,11/29/2034,0,1,0,1,Student,PGY-1,0,0
328,Joyce,Rivera,5451 Hospital Ln,Oklahoma City,OK,731024473,34,FEMALE,"AIAN,ANI",NOANS,"PAIN_MED,ACD_MED,NEURO_ANES",APOOR,Academic Medical Center,Office-Based,RURAL,"SOCLEADOFC,ACADEMICS","HEADOFDIV,DIRPREANESTSTCLINIC",NOTPRACTICING,Massachusetts General,7,2018,OK,8,4120270615,CSTGRD,Yes,,No,OK,12/08/1997,12/01/2026,0,0,0,1,Student,PGY-2,0,0
329,Phoenix,Foster,"7496 Center Ct, Suite 415",Aberdeen,SD,574012063,41,GNC,AIAN,HL,RAA,"OBA,OBSTETRICS,WIA,BH,PRAC_MGMT",Community Hospital,Office-Based,SUBURBAN,"INDSCONSUL,ENTREPRENEURSHIP,PRACMGMTADM","HIRINGDM,DEPTVICECHAIR",OTHER,Southern Regional Hospital,11,2014,SD,2,9554623471,USUHS,No,VA,Yes,SD,12/04/2013,11/29/2033,0,1,1,0,Student,N/A,0,0
330,Ronald,Rogers,6794 Union Ave,Scottsdale,AZ,852514755,31,MALE,"AI,WHI",HL,"OBS_ANES,PED_ANES,GER_ANES","APOOR,NSA,EMI,BH",Solo Practice,Hospital - Community,RURAL,ENTREPRENEURSHIP,"BUDGETOWNER,HPPDM,FELLOWPGMDIR",OTHER,Johns Hopkins,6,2019,AZ,10,0458474362,,No,,Yes,AZ,12/04/2014,12/01/2027,1,1,1,0,Faculty,PGY-1,0,0
331,Alex,Jones,4458 Market Ct,Fort Smith,AR,729016412,37,GNC,ANI,HL,"PAIN_MED,PERI_MED,PED_ANES","LEAD_DEV,EPD,CARDIO_SYS",Private Practice,Government Facility,URBAN,"ENGINEERING,MEDSTUEDUC,HOSPLECS",HIRINGDM,INDCONTRACT,Coastal Anesthesia Group,7,2018,AR,10,0110797714,,No,INDIAN_HEALTH_SERVICE,No,AR,12/06/2004,11/29/2035,0,1,0,0,Admin,PGY-4,0,0
332,Cameron,Bailey,"4894 Washington Ct, Suite 201",Charleston,WV,253014543,56,GNC,"NHOPI,WHI,UNS",HL,PAIN_MED,"LEAD_DEV,PERIOP_MED,NSA,QPI",Academic Medical Center,Government Facility,URBAN,"FELLOWEDUC,ACADEMICS",MEDSCHDEAN,NOTPRACTICING,,18,2007,WV,11,0779433256,AIRFORCE,Yes,,Yes,WV,12/05/2009,11/30/2030,0,0,0,0,Staff,PGY-1,0,0
